MS:  	 1823: 
[DELstart] of her[DELend][DELstart] s[DELend]  	 favourite scene 
[DELstart] Latin[DELend]  	[NO 1823 VARIANT]
& English 	 and English, 
writ[DELstart] ers[DELend][ADDstart] ings[ADDend][ADDstart] in[ADDend]  	 writings in 
 languages 	 languages; 
 begin rendered 	 being made 
[DELstart] by[DELend]  	[NO 1823 VARIANT]
th[ADDstart] ^[ADDend][ADDstart] r[ADDend] punishment, 	 through punishment, 
 application 	 application, 
[DELstart] were[DELend] would 	 would 
 perhaps 	 Perhaps 
 books 	 books, 
[DELstart] a[DELend]  	[NO 1823 VARIANT]
 quickly 	 quickly, 
[DELstart] another child[DELend] those 	 those 
ordinary[ADDstart] method,[ADDend]  	 ordinary, methods; 
[DELstart] this[DELend][ADDstart] XX[ADDend][ADDstart] the[ADDend] tion 	 memories.     In this description 
include[DELstart] I include[DELend][DELstart] Hen[DELend]  	 include 
[DELstart] Carignan[DELend][DELstart] in this account[DELend][ADDstart] Clerval,[ADDend]  	 Clerval; 
[DELstart] con[DELend][ADDstart] ^[ADDend][ADDstart] he[ADDend]  	 he was 
 he 	 He 
[DELstart] sho[DELend]  	[NO 1823 VARIANT]
 me 	 me, 
 house 	 house; 
  	[NO 1823 VARIANT]
h[DELstart] to[DELend][ADDstart] is[ADDend]  	 his 
 house 	 house; 
 record 	 absent.   
those circumstances for that science which was 	 I feel pleasure in dwelling on 
 principal amusement 	 recollections 
my  ded 	 childhood, before misfortune had tainted 
destiny my taste for old books 	 mind, and changed its bright visions 
chemist ry and natural magic 	 extensive usefulness into gloomy 
I remem Pliny's Natural History 	 narrow reflections upon self. But, in drawing the picture of 
father  refusing to allow me 	 early days, I must not omit 
read a  translation. I used when very young 	 record those events which led, by insensible steps, 
 attend lectures 	 my after tale 
chemistry  given in Geneva and athough 	 misery: for when 
 did not understand them 	 would account to myself for 
 attract 	 birth of that passion, which afterwards ruled 
attention.[DELstart] I reme^mber[DELend][DELstart] also[DELend][DELstart] are[DELend][DELstart] caused[DELend][DELstart] by slight or[DELend][DELstart] s[DELend][DELstart] Strange as the[DELend][DELstart] statement of the[DELend][DELstart] simple fact[DELend][ADDstart] ^[ADDend][ADDstart] m[ADDend][ADDstart] derive thier origin from a[ADDend][ADDstart] ^[ADDend][ADDstart] statement of the[ADDend] may appear 	 destiny, I find it arise, like a mountain river, from ignoble and almost forgotten sources; but, swelling as it proceeded, it became the torrent which, in its course, has swept away all 
fate had been[DELstart] Chemist[DELend] ral 	 hopes and joys.     Natural 
[DELstart] has[DELend]  	[NO 1823 VARIANT]
 fate 	 fate; 
[DELstart] wish[DELend][ADDstart] desire[ADDend][ADDstart] refore[ADDend]  	 desire therefore, 
account  of my early years 	 narration, 
my[DELstart] love[DELend][DELstart] pursuit[DELend][DELstart] first aqu[DELend][DELstart] of that study.[DELend][ADDstart] first aqu[ADDend] predeliction 	 my predilection 
 eleven 	 thirteen 
 old 	 of age, 
[DELstart] Thonon[DELend] the 	 the 
near[DELstart] and were confined there[DELend][DELstart] b[DELend][DELstart] obil[DELend][ADDstart] Thonon.[ADDend] obliged by 	 near Thonon: 
rain[DELstart] and[DELend][ADDstart] T[ADDend] he 	[NO 1823 VARIANT]
[DELstart] fo[DELend][DELstart] s[DELend]  	 volume 
 Works 	 works 
[DELstart] And[DELend]  	[NO 1823 VARIANT]
apathy [DELstart] but[DELend][ADDstart] ^[ADDend] the 	 apathy; the 
 that 	 which 
 attempted 	 attempts 
d demonstrate 	 demonstrate, 
that[DELstart] chan[DELend]  	 which he relates, 
into[DELstart] continued to re with[DELend]  	 into 
 dawned 	 seemed to dawn 
mind and [DELstart] I[DELend][DELstart] com[DELend] bounding 	 mind; and, bounding 
 joy 	 joy, 
remark  ing 	[NO 1823 VARIANT]
[DELstart] parents[DELend][DELstart] have[DELend][ADDstart] ^[ADDend][ADDstart] instructors[ADDend][ADDstart] posess[ADDend] of 	 instructors possess of 
tit[DELstart] t[DELend] le page 	 title-page 
book — [DELstart] Ah[DELend]  	 book, 
 said Ah! 	 said, “Ah! 
 — 	[NO 1823 VARIANT]
 Victor 	 Victor, 
 this – 	 this; 
trash.  If 	 trash.”     If, 
remark or rather excla mation 	 remark, 
[DELstart] ound[DELend][ADDstart] ^[ADDend][ADDstart] lain[ADDend]  	 explain 
 me 	 me, 
  	[NO 1823 VARIANT]
exploded. [DELstart] And[DELend][DELstart] aan[DELend]  	 exploded, 
[DELstart] another[DELend][ADDstart] a modern[ADDend] system 	 a modern system 
 introduced 	 introduced, 
 power 	 powers 
 ancient 	 ancient, 
 ancient 	 latter 
pretended  and 	[NO 1823 VARIANT]
moderns  are 	 former were 
 circumstances 	 circumstances, 
 and 	 and, 
was[ADDstart] sh[ADDend] ould 	 was, should 
 aplied 	 applied 
[DELstart] m[DELend]  	[NO 1823 VARIANT]
[DELstart] ra[DELend]  	[NO 1823 VARIANT]
at present has 	[NO 1823 VARIANT]
discoveries[DELstart] the approbation of the learned.[DELend] It 	 discoveries. It 
 possible 	 possible, 
 might 	 would 
recieved that 	 received the 
 which 	 that 
 me 	[NO 1823 VARIANT]
[DELstart] the[DELend][ADDstart] ^[ADDend][ADDstart] its[ADDend]  	 its 
 greatest 	 greadest 
 When 	    When 
[DELstart] this[DELend][ADDstart] ^[ADDend][ADDstart] the[ADDend][ADDstart] ^[ADDend][ADDstart] whole[ADDend]  	 the whole 
 author 	 author, 
 those 	[NO 1823 VARIANT]
studi the 	 studied the 
 authors 	 writers 
 delight, 	 delight; 
 besides 	 beside 
and, althoug I 	 and although I 
[DELstart] discover[DELend][ADDstart] communicate[ADDend]  	 communicate 
[DELstart] from[DELend]  	[NO 1823 VARIANT]
 father 	 father, 
in definite 	 indefinite 
 favorite Agrippa, 	 favourite Agrippa 
[DELstart] I let[DELend]  	[NO 1823 VARIANT]
 secret 	 discoveries 
 Elizabeth 	 Elizabeth, 
 strict 	[NO 1823 VARIANT]
[DELstart] them[DELend] the 	 the 
– It 	    It 
 strange 	 strange, 
desci ple 	 disciple 
 century, 	 century; 
[DELstart] did[DELend][ADDstart] had[ADDend]  	 had 
  	[NO 1823 VARIANT]
  	[NO 1823 VARIANT]
 reality, 	 reality; 
 greates 	 greatest 
  	[NO 1823 VARIANT]
 philosophers 	 philosopher’s 
[DELstart] elizer vi[DELend][ADDstart]   or if you chose petrum philosophale [ADDend] elixer 	 elixir 
life[DELstart] tæ[DELend] . 	 life. 
undi ved attention; 	 undivided attention: 
 object 	 object; 
 would be the 	[NO 1823 VARIANT]
  of 	 would attend 
 discovery 	 discovery, 
[DELstart] besto[DELend][DELstart] forever[DELend] banish 	 banish 
 frame 	 frame, 
[DELstart] unatainable[DELend] invunerable 	 invulnerable 
  	[NO 1823 VARIANT]
death. Nor 	 death!     Nor 
 visions, the 	 visions. The 
[DELstart] was also a favour[DELend][ADDstart] ^[ADDend] was 	 was 
by[DELstart] ite[DELend][DELstart] pursuit[DELend][DELstart] and[DELend][DELstart] If I never saw any[DELend] my 	 by my 
 authors; 	 authors, 
sought; & 	 sought; and 
unsuccessful attributed 	 unsuccessful, I attributed 
[DELstart] th[DELend]  	[NO 1823 VARIANT]
[ADDstart] ^[ADDend] to 	 to 
[ADDstart] ^[ADDend] or 	 or 
instructor[DELstart] When I was about fifteen my f[DELend][ADDstart] s[ADDend] The 	 instructors.     The 
 phænonema 	 phenomena 
 takes 	 take 
[DELstart] I remember[DELend][DELstart] The[DELend][DELstart] fermentation[DELend][DELstart] of liquors[DELend][DELstart] di[DELend]  	 Distillation, and the wonderful effects of steam, processes 
 favorite 	 favourite 
  ignorant 	 ignorant, 
 astonishment, 	 astonishment; 
[DELstart] caused[DELend][DELstart] by an[DELend] engaged 	 engaged 
experiements[DELstart] air pump[DELend][DELstart] electrical machine[DELend][ADDstart] electrical machine[ADDend] on 	 experiments on 
air pump which 	 airpump, which 
[DELstart] used[DELend][ADDstart] employed[ADDend]  	 employed 
visiting. The 	 visiting.     The 
 my 	 the early 
 points, 	 points 
[ADDstart] ^[ADDend][ADDstart] thier[ADDend]  	 their 
[ADDstart] ^[ADDend][ADDstart] me[ADDend]  – 	 me: 
 aside 	 aside, 
[DELstart] any[DELend][DELstart] some[DELend]  	[NO 1823 VARIANT]
[DELstart] cocc[DELend][ADDstart] should[ADDend][ADDstart] y[ADDend] d 	 should occupy 
place[ADDstart] ,[ADDend]  	 place 
mind–  	 mind. 
[[ADDstart] W[ADDend] hen 	 When 
[DELstart] twelve[DELend][ADDstart] fourteen[ADDend]  	 fifteen 
 old 	 old, 
 were at 	 had retired to 
 Belrive 	 Belrive, 
[DELstart] the[DELend]  	[NO 1823 VARIANT]
thunder storm it 	 thunder-storm. It 
Jura   	 the mountains of Jura; 
[DELstart] the d[DELend][DELstart] several quarte[DELend][DELstart] rs[DELend]  	[NO 1823 VARIANT]
[DELstart] and[DELend][ADDstart] ^[ADDend] from 	 frightful loudness from 
heavens  	 heavens. 
[DELstart] storm with pleasure[DELend][ADDstart] e[ADDend][ADDstart] ed[ADDend]  	 remained, 
lasted [DELstart] at[DELend][ADDstart] watching its[ADDend]  	 lasted, watching 
[DELstart] the door[DELend][DELstart] watchin[DELend][DELstart] g[DELend][DELstart] When it was most[DELend] As 	 and delight. As 
door[DELstart] violent[DELend] on 	 door, on 
[DELstart] the[DELend][ADDstart] ^[ADDend] a 	 a 
[DELstart] be[DELend]  	[NO 1823 VARIANT]
 oak 	 oak, which stood 
[DELstart] wh[DELend]  	[NO 1823 VARIANT]
 house 	 house; 
[DELstart] when[DELend] so 	 so 
[DELstart] dazz[DELend] dazzling 	 dazzling 
[DELstart] had[DELend][DELstart] dissa[DELend][DELstart] dissappeared[DELend][DELstart] the[DELend][DELstart] pa[DELend]  	[NO 1823 VARIANT]
[DELstart] hand[DELend][ADDstart] &[ADDend][ADDstart] remained[ADDend]  	 had disappeared, and nothing remained 
[DELstart] rent[DELend][ADDstart] ^[ADDend][ADDstart] blasted[ADDend]  	 blasted 
[DELstart] remained[DELend] . 	[NO 1823 VARIANT]
 morning 	 morning, 
[DELstart] trea[DELend]  	[NO 1823 VARIANT]
[DELstart] The[DELend][DELstart] C[DELend]  	[NO 1823 VARIANT]
 saw 	 beheld 
 the 	 this 
astonish[DELstart] and[DELend][DELstart] caused[DELend][DELstart] me to aply wi[DELend][DELstart] ith[DELend][DELstart] fresh di[DELend][DELstart] chemistry[DELend][DELstart] clamatio[DELend][DELstart] di[DELend][DELstart] endeavou[DELend][DELstart] to[DELend][ADDstart] ^[ADDend][ADDstart] induced[ADDend][ADDstart] natural philosophy[ADDend][ADDstart] i[ADDend]  	 astonishment; 
elements to ascertain [ADDstart] ^[ADDend][ADDstart] Among other questions suggested by natural objects[ADDend]  	[NO 1823 VARIANT]
[DELstart] as[DELend]  	[NO 1823 VARIANT]
 enquired 	 inquired 
[DELstart] what[DELend][ADDstart] ^[ADDend] the 	 the 
 & the 	 and 
lightening. [DELstart] was.[DELend]  	 lightning. 
 electricity; 	 “Electricity;” 
 effect 	 various effects 
[DELstart] made[DELend][ADDstart] constructed[ADDend] a 	 constructed a 
 machine 	 machine, 
 experiments and 	 experiments; he 
 kite 	 kite, 
[DELstart] and[DELend][ADDstart] &[ADDend][ADDstart] which[ADDend]  	 and string, which 
clouds. This 	 clouds.     This 
[DELstart] blow[DELend][DELstart] st[DELend]  	[NO 1823 VARIANT]
 compleated 	 completed 
 Magnus 	 Magnus, 
 enclined 	 inclined 
 system 	 system; 
[DELstart] inclination[DELend][ADDstart] disinclination[ADDend]  	 disinclination 
 My 	 circumstance.     My 
I [ADDstart] ^[ADDend][ADDstart] cheerfully[ADDend] house of Clerval's father 	[NO 1823 VARIANT]
[DELstart] O P[DELend][DELstart] h[DELend][DELstart] if any one would him I went[DELend][DELstart] but[DELend][ADDstart] t[ADDend] Some 	 cheerfully consented. Some 
the [DELstart] series of[DELend]  	[NO 1823 VARIANT]
lectures[DELstart] this lecture was unfortunately nearly the[DELend][DELstart] they were nearly over [DELend][DELstart] they[DELend]  it 	 lectures until the course 
finihsed. The[DELstart] last[DELend][DELstart] the[DELend]  almost 	 finished. The lecture being, therefore, one of 
last [DELstart] in his[DELend] was 	 last, was 
 – the 	 The 
 talked 	 discoursed 
&[DELstart] zinc bismuth[DELend]  – 	 and boron, 
 sulphats and oxids 	 sulphates 
displayed so many[DELstart] words[DELend][ADDstart] terms[ADDend]  	 oxyds, terms 
[DELstart] not[DELend]  	[NO 1823 VARIANT]
[DELstart] any[DELend][DELstart] that[DELend][ADDstart] no[ADDend]  	 no idea; and 
 was 	 became 
appearance[DELstart] of[DELend][DELstart] chemistry[DELend] the 	[NO 1823 VARIANT]
philosophy  	 philosophy, 
 with delight 	[NO 1823 VARIANT]
Buffons [DELstart] that stood about on a par[DELend] in 	 Buffon with delight, authors, in 
 estimation 	 estimation, 
& utility.[DELstart] studies[DELend][ADDstart] occupations[ADDend]  	 and utility.     My occupations 
[DELstart] th[DELend]  	[NO 1823 VARIANT]
[DELstart] which I delighted in an[DELend]  	[NO 1823 VARIANT]
[DELstart] th[DELend]  	[NO 1823 VARIANT]
 also 	[NO 1823 VARIANT]
 languages 	 languages; 
[ADDstart] ^[ADDend][ADDstart] already[ADDend]  	 already 
 me 	 me, 
 without the help 	 some 
[DELstart] dictionary[DELend][ADDstart] lexicon[ADDend]  some of 	 easiest Greek authors without 
 easiest greek authors. –I 	 help of a lexicon. I 
English&[DELstart] ese[DELend][DELstart] are[DELend][ADDstart] is[ADDend][ADDstart] is[ADDend]  	 English and German. This is the 
[DELstart] that[DELend][DELstart] time[DELend][DELstart] e period[DELend]  	[NO 1823 VARIANT]
 employd 	 employed 
  	[NO 1823 VARIANT]
  	[NO 1823 VARIANT]
 Another 	 Another 
[DELstart] soon[DELend][ADDstart] ^[ADDend][ADDstart] also[ADDend]  	 also 
 me 	 me, 
 five 	 six 
 aflicted 	 afflicted 
infancy [ADDstart] thro which[ADDend] Elizabeth 	 infancy, through which Elizabeth 
[DELstart] m[DELend][DELstart] I[DELend]  	 nurses; 
 gentle 	 gentle, 
 William 	 William, 
 family 	 family, 
 quite a child 	 yet an infant, 
 world, 	 world; 
 eyes 	 eyes, 
cheeks  	 cheeks, 
[DELstart] affectionate[DELend]  	[NO 1823 VARIANT]
 manners 	 manners, 
 circle 	 circle, 
[DELstart] f[DELend]  	[NO 1823 VARIANT]
 studies 	 studies, 
[DELstart] we were all equal[DELend][DELstart] we none[DELend][ADDstart] neither[ADDend]  	 Neither 
 preheminence 	 the slightest pre-eminence 
other  	 other; 
 among us 	 amongst us; 
with[ADDstart] ,[ADDend][ADDstart] to[ADDend] obey 	 with and obey 
[ADDstart] 3[ADDend] When 	 W HEN  
 seventeen 	 seventeen, 
[DELstart] father[DELend][ADDstart] parents[ADDend]  	 parents 
[DELstart]  to[DELend] become 	 become 
In- golstadt. 	 Ingolstadt. 
 Geneva, 	 Geneva; 
 necessary 	 necessary, 
[DELstart] that[DELend]  	 education, 
[DELstart] besides[DELend][ADDstart] than[ADDend] those 	 than those 
[DELstart] for[DELend]  	[NO 1823 VARIANT]
[ADDstart] ^[ADDend][ADDstart] date.[ADDend]  But 	 date; but, 
 arrive 	 arrive, 
occurred: [DELstart] as if[DELend] omen 	 occurred—an omen, 
were  	 were, 
misery >Elizabeth 	 misery.     Elizabeth 
 fever 	 fever; 
[DELstart] [DELend]  	[NO 1823 VARIANT]
 severe 	 severe, 
confinement [DELstart] mady[DELend][DELstart] made[DELend][ADDstart] ^[ADDend][ADDstart] made many[ADDend] guments 	 confinement, many arguments 
[DELstart] not[DELend] to 	 to 
 to attend 	 attending 
 had 	 had, at first, 
[DELstart] the[DELend][DELstart] to these[DELend] to 	 to 
entreaties,  	 entreaties; 
[DELstart] ha[DELend]  	[NO 1823 VARIANT]
 sick 	[NO 1823 VARIANT]
[DELstart] it was safe[DELend] the 	 the 
  	[NO 1823 VARIANT]
 fatal: on 	 fatal. On 
 sickened. Her 	 sickened; her 
[DELstart] very[DELend][DELstart] tr[DELend]  	 very malignant, 
[DELstart] wort[DELend]  	[NO 1823 VARIANT]
 evil. 	 event. 
 death bed 	 death-bed 
[DELstart] di[DELend]  	[NO 1823 VARIANT]
[DELstart] my mother[DELend] this 	 this 
woman did 	 woman did 
myself. "My  "children said 	 myself: “My children,” 
it was on your  "union that my 	 said, “my 
 "future 	 future 
placed. It  "will 	 placed on the prospect of your union. This expectation will 
[DELstart] fathor[DELend][DELstart] alone[DELend][ADDstart] alone[ADDend]  	 your father. 
 "love, 	 love, you must 
[DELstart] the other[DELend][DELstart] cons[DELend]  	 your younger 
[DELstart] almost[DELend]  	[NO 1823 VARIANT]
[DELstart] being[DELend] than 	 that 
you, [DELstart] h[DELend]  and 	 you; and, 
 beloved, 	 beloved 
am  "is 	 have been, is 
 "these 	 these 
me [ADDstart] ^[ADDend] will 	 me; I will 
[DELstart] to[DELend]  	[NO 1823 VARIANT]
 "death 	 death, 
[DELstart] my[DELend][DELstart] beloved[DELend][DELstart] creatures[DELend]  	[NO 1823 VARIANT]
 "in 	 in 
world." She 	 world.”     She 
 calmly 	 calmly; 
 features 	 countenance 
[DELstart] lov[DELend]  	[NO 1823 VARIANT]
  	[NO 1823 VARIANT]
 irreperable evil; 	 irreparable evil, 
[DELstart] bla[DELend]  	[NO 1823 VARIANT]
 every where 	[NO 1823 VARIANT]
[DELstart] their[DELend][DELstart] minds[DELend][ADDstart] ^[ADDend][ADDstart] the soul[ADDend]  	 the soul, 
 they 	 we 
 theirs, 	 our own, 
ever:  hat 	 ever—that 
 loved 	 beloved 
[DELstart] faded[DELend] been 	 been 
[DELstart] never[DELend] so familiar 	 so familiar, 
 ear 	 ear, 
 days. But 	 days; but 
 evil 	 evil, 
[DELstart] true[DELend][DELstart] despair[DELend] bitterness 	 actual bitterness 
commences[DELstart] Then the survivors dare not turn[DELend][DELstart] But[DELend][ADDstart] ,[ADDend] Yet, 	 commences. Yet 
 who 	[NO 1823 VARIANT]
  	[NO 1823 VARIANT]
connection,  	 connexion; 
[DELstart] need[DELend][ADDstart] should[ADDend]  	 should 
[DELstart] But[DELend][ADDstart] T[ADDend] he 	 The 
 arrives 	 arrives, 
[DELstart] a[DELend]  	[NO 1823 VARIANT]
 necessity 	 necessity; 
 on 	 upon 
 is 	 may be 
 sacriledge, 	 a sacrilege, 
Ba nished.– 	 banished. 
gone[DELstart] had be[DELend][DELstart] en[DELend][DELstart] taken[DELend][DELstart] away[DELend][ADDstart] lost[ADDend][ADDstart] ^[ADDend][ADDstart] was dead[ADDend]  	 dead, 
  	[NO 1823 VARIANT]
 perform 	 perform; 
[DELstart] & bless God if nothing[DELend][DELstart] else[DELend][DELstart] worse[DELend][DELstart] .[DELend][ADDstart] ^[ADDend][ADDstart] worse[ADDend] and 	[NO 1823 VARIANT]
idleness generated by grief would[DELstart] become a bad habit if further indulged[DELend][ADDstart] become a bad habit if further indulged[ADDend] and 	 rest, and 
our  	 ourselves fortunate, 
seized. My 	 seized.     My 
 Ingolstadt 	 Ingolstadt, 
 events 	 events, 
upon, [DELstart] and all that[DELend][DELstart] could[DELend]  	 upon. I 
[DELstart] was[DELend][ADDstart] a[ADDend] respite 	 a respite 
 time 	 period 
 sadly. My mothers death 	 sadly ; my mother’s death, 
 departure 	 departure; 
 spirits 	 spirits; 
[DELstart] spr[DELend][DELstart] renew[DELend][DELstart] the spirit[DELend][DELstart] cast aa gleam[DELend][ADDstart] cast aa gleam[ADDend] renew 	 renew 
cheer  fullness 	 cheerfulness 
 aunt 	 aunt, 
[DELstart] firmess[DELend]  	[NO 1823 VARIANT]
 exactitude 	 exactness; 
[DELstart] her[DELend] she 	 she 
the  	[NO 1823 VARIANT]
duty [DELstart] was[DELend][DELstart] to[DELend][ADDstart] of[ADDend]  	 duty, of 
hap  	 happy, 
 on 	 upon 
[DELstart] and[DELend]  	[NO 1823 VARIANT]
 brothers 	 brothers; 
 time 	 time, 
[DELstart] e[DELend][DELstart] of her time[DELend][DELstart] to others[DELend][ADDstart] ^[ADDend][ADDstart] was[ADDend] ly 	 was continually 
 others 	 others, 
  	 of herself. 
[DELstart] hels[DELend] The 	 The 
lenghth  arrived – 	 length arrived. 
 friends 	 friends, 
[DELstart] not able[DELend][ADDstart] unable[ADDend]  	 unable 
 me But 	 me: but 
[DELstart] bear[DELend] be 	 be 
him [DELstart] besides[DELend][DELstart] as[DELend][DELstart] he[DELend][DELstart] him to[DELend][ADDstart] ing[ADDend] that 	 him, intending, that 
should come 	 should become 
 his 	[NO 1823 VARIANT]
and [DELstart] he said he did not[DELend][DELstart] and[DELend]  	[NO 1823 VARIANT]
[DELstart] the[DELend]  	[NO 1823 VARIANT]
 superflous 	 superfluous 
life.[DELstart] see[DELend][DELstart] ^of[DELend][DELstart] what use learning[DELend][DELstart] was[DELend][DELstart] could be[DELend][DELstart] to a[DELend][DELstart] merchant.[DELend][ADDstart] ^[ADDend][ADDstart] of[ADDend][ADDstart] ^[ADDend][ADDstart] could be[ADDend]  	 life. 
mind [DELstart] and a[DELend]  	 mind; 
[DELstart] did not wish[DELend] had 	 had 
 idle 	 idle, 
[DELstart] of[DELend]  	[NO 1823 VARIANT]
father's [ADDstart] ^[ADDend][ADDstart] partner[ADDend] but 	 father’s partner, but 
 trader 	 trader, 
[DELstart] have[DELend][ADDstart] posess[ADDend]  	 possess 
[DELstart] mind.[DELend][ADDstart] understanding.[ADDend] We sate late 	 understanding.     We sat late, 
[DELstart] I[DELend]  	[NO 1823 VARIANT]
[DELstart] and[DELend][ADDstart] T[ADDend] he 	 The 
 Elizabeth 	 Elizabeth; 
 before 	 before, 
 mothers 	 mother’s 
me  	 me. 
 away 	 away, 
 I 	 I, 
[DELstart] ed[DELend]  	[NO 1823 VARIANT]
 give 	 bestow 
 pleasure; 	 pleasure, 
the university [DELstart] wi[DELend]  	 th e niversity, 
 going 	 going, 
 friends 	 friends, 
[DELstart] introduction[DELend][ADDstart] protector.[ADDend]  	 protector. 
 retired 	 secluded 
 domestic 	 domestic; 
 an 	[NO 1823 VARIANT]
[DELstart] faces[DELend] countenances. 	 countenances. 
brothers Eliza beth 	 brothers, Elizabeth, 
 Clerval 	 Clerval; 
 "old 	 “old 
 faces" 	 faces;” 
 journey But 	 journey; but 
 proceeded 	 proceeded, 
knowledge [DELstart] and I[DELend] I 	 the acquisition of knowledge. I 
 often 	 often, 
 home 	 home, 
[DELstart] how[DELend][ADDstart] it[ADDend]  hard 	[NO 1823 VARIANT]
was  	 hard 
place   	 place, 
 into 	[NO 1823 VARIANT]
[DELstart] worth[DELend]  world 	 world, 
[DELstart] place[DELend][DELstart] with[DELend] station 	 station 
[DELstart] And[DELend] now 	 Now 
[DELstart] cop[DELend][ADDstart] &[ADDend]  	 complied with, and 
would [DELstart] indeed[DELend][ADDstart] ^[ADDend][ADDstart] indeed[ADDend][ADDstart] have[ADDend]  	 would, indeed, have 
 I 	 repent.     I 
[DELstart] plenty of[DELend][ADDstart] sufficient[ADDend]  	 sufficient 
  	[NO 1823 VARIANT]
 Ingolstadt 	 Ingolstadt, 
 fatiguing – at 	 fatiguing. At 
 steeples 	 high white steeple 
 alighted 	 alighted, 
 apartment 	 apartment, 
  	[NO 1823 VARIANT]
 The 	 The 
 introduction 	 introduction, 
 professors. 	 professors, 
[DELstart] Krempe[DELend][ADDstart] Krempe[ADDend] Professor 	 Krempe, professor 
[DELstart] & Lecturer[DELend][DELstart] upon[DELend]  Natural 	 natural 
[DELstart] sciences[DELend]  	[NO 1823 VARIANT]
 true 	 true, 
[ADDstart] ^[ADDend][ADDstart] ever[ADDend]  	 ever 
stared. [DELstart] "[DELend] "your 	 stared: “Have you,” he said, “really spent your 
 "nonsence?" 	 nonsense?”     
affir "Every minute"– 	 affirmative. “Every minute,” 
 with warmth," every 	 Krempe with warmth, “every 
 "you 	 you 
 upon 	 on 
 "books 	 books 
 "You 	 You 
[DELstart] bur[DELend][DELstart] memor[DELend]  	[NO 1823 VARIANT]
 "systems 	 systems, 
[DELstart] where must you[DELend] in 	 God! in 
 desart 	 desert 
 "lived 	 lived, 
 "enough 	 enough 
[DELstart] enfor[DELend]  	[NO 1823 VARIANT]
 "that 	 that 
 fancies 	 fancies, 
[ADDstart] ^[ADDend][ADDstart] you[ADDend]  	 you 
 "so 	 so 
 imbibed 	 imbibed, 
[DELstart] at le[DELend]  	[NO 1823 VARIANT]
 "thousand 	 thousand 
 old 	 old, 
[DELstart] your[DELend]  	[NO 1823 VARIANT]
 ancient. 	 ancient? 
 "in 	 in 
 "to 	 to 
Mag "nus 	 Magnus 
sir  "you 	 Sir, you 
 anew." 	 anew.”     
 saying 	 saying, 
ste[ADDstart] pp[ADDend] ed 	 stept 
[DELstart] wh[DELend]  	[NO 1823 VARIANT]
[DELstart] u[DELend]  upon 	 treating of 
 philosophy 	 philosophy, 
 procure 	 procure, 
 me 	 me, 
[DELstart] he intended[DELend][DELstart] to commen[DELend]  	[NO 1823 VARIANT]
